Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date","Last Trade","Avg IV"
XLV|20210409|100.00C,XLV,100.00,+9.75%,8.55,11.03,13.50,0.00,0.00,unch,0,0,0.00,24.32%,Call,35,04/09/21,N/A,0.00%
XLV|20210409|105.00C,XLV,105.00,+5.23%,4.70,7.10,9.50,0.00,0.00,unch,0,0,0.00,26.78%,Call,35,04/09/21,N/A,0.00%
XLV|20210409|107.00C,XLV,107.00,+3.43%,2.60,5.05,7.50,0.00,0.00,unch,0,0,0.00,21.15%,Call,35,04/09/21,N/A,0.00%
XLV|20210409|108.00C,XLV,108.00,+2.53%,2.21,4.61,7.00,0.00,0.00,unch,0,0,0.00,22.86%,Call,35,04/09/21,N/A,0.00%
XLV|20210409|108.50C,XLV,108.50,+2.08%,1.84,4.17,6.50,0.00,0.00,unch,0,0,0.00,21.86%,Call,35,04/09/21,N/A,0.00%
XLV|20210409|109.00C,XLV,109.00,+1.62%,1.50,3.88,6.25,6.32,6.32,unch,8,8,1.00,21.86%,Call,35,04/09/21,03/01/21,0.00%
XLV|20210409|109.50C,XLV,109.50,+1.17%,1.16,3.58,6.00,0.00,0.00,unch,0,0,0.00,21.77%,Call,35,04/09/21,N/A,0.00%
XLV|20210409|110.00C,XLV,110.00,+0.72%,1.35,3.43,5.50,3.10,3.10,unch,6,0,0.00,20.20%,Call,35,04/09/21,03/04/21,0.00%
XLV|20210409|110.50C,XLV,110.50,+0.27%,0.50,2.95,5.40,0.00,0.00,unch,0,0,0.00,20.98%,Call,35,04/09/21,N/A,0.00%
XLV|20210409|111.00C,XLV,111.00,-0.18%,0.51,2.76,5.00,0.00,0.00,unch,0,0,0.00,21.32%,Call,35,04/09/21,N/A,0.00%
XLV|20210409|111.50C,XLV,111.50,-0.63%,0.47,2.46,4.45,3.11,3.11,unch,7,7,1.00,20.83%,Call,35,04/09/21,03/03/21,0.00%
XLV|20210409|112.00C,XLV,112.00,-1.08%,0.30,2.65,5.00,0.00,0.00,unch,0,0,0.00,23.82%,Call,35,04/09/21,N/A,0.00%
XLV|20210409|112.50C,XLV,112.50,-1.53%,0.30,2.60,4.90,2.55,2.55,unch,23,16,1.44,24.97%,Call,35,04/09/21,03/03/21,0.00%
XLV|20210409|113.00C,XLV,113.00,-1.99%,0.29,2.60,4.90,0.00,0.00,unch,0,0,0.00,26.39%,Call,35,04/09/21,N/A,0.00%
XLV|20210409|113.50C,XLV,113.50,-2.44%,0.24,2.45,4.65,0.00,0.00,unch,0,0,0.00,26.67%,Call,35,04/09/21,N/A,0.00%
XLV|20210409|114.00C,XLV,114.00,-2.89%,0.25,2.23,4.20,1.96,1.96,unch,11,12,0.92,26.34%,Call,35,04/09/21,03/03/21,0.00%
XLV|20210409|114.50C,XLV,114.50,-3.34%,0.15,1.55,2.94,1.23,-0.45,-26.79%,1,4,0.25,19.64%,Call,35,04/09/21,03/04/21,0.00%
XLV|20210409|115.00C,XLV,115.00,-3.79%,0.13,1.67,3.20,1.28,1.28,unch,1,0,0.00,21.22%,Call,35,04/09/21,03/04/21,0.00%
XLV|20210409|115.50C,XLV,115.50,-4.24%,0.13,1.71,3.30,0.00,0.00,unch,0,0,0.00,26.02%,Call,35,04/09/21,N/A,0.00%
XLV|20210409|116.00C,XLV,116.00,-4.69%,0.12,1.81,3.50,1.19,-0.56,-32.00%,2,3,0.67,27.97%,Call,35,04/09/21,03/03/21,0.00%
XLV|20210409|100.00P,XLV,100.00,-9.75%,0.01,0.75,1.49,0.00,0.00,unch,0,0,0.00,0.00%,Put,35,04/09/21,N/A,0.00%
XLV|20210409|105.00P,XLV,105.00,-5.23%,0.39,1.80,3.20,0.94,0.94,unch,7,7,1.00,30.05%,Put,35,04/09/21,03/03/21,0.00%
XLV|20210409|107.00P,XLV,107.00,-3.43%,0.32,2.21,4.10,0.00,0.00,unch,0,0,0.00,27.94%,Put,35,04/09/21,N/A,0.00%
XLV|20210409|108.00P,XLV,108.00,-2.53%,0.33,2.52,4.70,0.00,0.00,unch,0,0,0.00,27.32%,Put,35,04/09/21,N/A,0.00%
XLV|20210409|108.50P,XLV,108.50,-2.08%,0.05,2.53,5.00,0.00,0.00,unch,0,0,0.00,25.82%,Put,35,04/09/21,N/A,0.00%
XLV|20210409|109.00P,XLV,109.00,-1.62%,0.56,2.78,5.00,1.58,-0.16,-9.20%,2,8,0.25,26.12%,Put,35,04/09/21,03/03/21,0.00%
XLV|20210409|109.50P,XLV,109.50,-1.17%,0.05,2.53,5.00,0.00,0.00,unch,0,0,0.00,22.54%,Put,35,04/09/21,N/A,0.00%
XLV|20210409|110.00P,XLV,110.00,-0.72%,0.05,2.53,5.00,1.82,-0.22,-10.78%,3,2,1.50,20.82%,Put,35,04/09/21,03/03/21,0.00%
XLV|20210409|110.50P,XLV,110.50,-0.27%,0.50,2.98,5.45,0.00,0.00,unch,0,0,0.00,22.32%,Put,35,04/09/21,N/A,0.00%
XLV|20210409|111.00P,XLV,111.00,+0.18%,0.73,2.87,5.00,0.00,0.00,unch,0,1,0.00,19.61%,Put,35,04/09/21,N/A,0.00%
XLV|20210409|111.50P,XLV,111.50,+0.63%,1.00,3.13,5.25,0.00,0.00,unch,0,0,0.00,19.51%,Put,35,04/09/21,N/A,0.00%
XLV|20210409|112.00P,XLV,112.00,+1.08%,1.00,3.28,5.55,2.65,0.25,+10.42%,9,13,0.69,18.48%,Put,35,04/09/21,03/03/21,0.00%
XLV|20210409|112.50P,XLV,112.50,+1.53%,1.50,3.98,6.45,0.00,0.00,unch,0,0,0.00,21.45%,Put,35,04/09/21,N/A,0.00%
XLV|20210409|113.00P,XLV,113.00,+1.99%,2.00,3.98,5.95,4.37,2.09,+91.67%,4,2,2.00,22.08%,Put,35,04/09/21,03/04/21,0.00%
XLV|20210409|113.50P,XLV,113.50,+2.44%,2.00,4.38,6.75,2.57,2.57,unch,81,73,1.11,19.60%,Put,35,04/09/21,03/01/21,0.00%
XLV|20210409|114.00P,XLV,114.00,+2.89%,2.55,5.03,7.50,3.43,3.43,unch,1,1,1.00,22.06%,Put,35,04/09/21,03/03/21,0.00%
XLV|20210409|114.50P,XLV,114.50,+3.34%,3.00,5.25,7.50,0.00,0.00,unch,0,0,0.00,21.07%,Put,35,04/09/21,N/A,0.00%
XLV|20210409|115.00P,XLV,115.00,+3.79%,3.10,5.53,7.95,0.00,0.00,unch,0,0,0.00,20.32%,Put,35,04/09/21,N/A,0.00%
XLV|20210409|115.50P,XLV,115.50,+4.24%,3.50,5.95,8.40,0.00,0.00,unch,0,0,0.00,20.77%,Put,35,04/09/21,N/A,0.00%
XLV|20210409|116.00P,XLV,116.00,+4.69%,4.00,6.05,8.10,0.00,0.00,unch,0,0,0.00,17.99%,Put,35,04/09/21,N/A,0.00%
"Downloaded from Barchart.com as of 03-05-2021 08:30am CST"
